Experiment,Time,TR_U,READOUT_OBS1,READOUT_OBS2,READOUT_OBS3,READOUT_OBS4,READOUT_OBS5,STD_OBS1,STD_OBS2,STD_OBS3,STD_OBS4,STD_OBS5
2,175,0,0.0411038993837237,0.361784621812005,0.0113324022814654,0.00956509150011203,0.0132338268522043,0.00450014507088791,0.0382852866740898,0.00123122758379686,0.00102011212243695,0.00137909582675455
2,180,0,0.0432168157417889,0.360251640913609,0.0138914533797796,0.0103561925448031,0.014740560406394,0.00450014507102051,0.0382852866436732,0.00123122758378765,0.00102011212243841,0.00137909582674946
2,185,0,0.0515705042657934,0.409251863883112,0.0116261167107441,0.0107727687342468,0.0118847019319397,0.00450014507113018,0.0382852866180912,0.0012312275837801,0.00102011212243905,0.00137909582674453
2,190,0,0.0424220973282238,0.41701776336071,0.0116909138411701,0.0107282938381131,0.0145112922856324,0.00450014507121691,0.0382852865973436,0.00123122758377421,0.00102011212243887,0.00137909582673976
2,195,0,0.0386949827536742,0.414548371213478,0.0117523294861185,0.0115525837794397,0.012371388116066,0.00450014507128071,0.0382852865814304,0.00123122758376996,0.00102011212243786,0.00137909582673514
2,200,0,0.0419369749305223,0.390923957919618,0.0129489826354472,0.0121157373640041,0.0107162982467477,0.00450014507132157,0.0382852865703516,0.00123122758376737,0.00102011212243604,0.00137909582673068
2,205,0,0.0459364265077429,0.337604300479259,0.0128584340688309,0.00874362022623992,0.015060487550304,0.0045001450713395,0.0382852865641074,0.00123122758376644,0.00102011212243339,0.00137909582672637
2,210,0,0.0469398993540216,0.419626185297822,0.0124314159468851,0.00973220924453027,0.0113575196325845,0.0045001450713345,0.0382852865626975,0.00123122758376715,0.00102011212242993,0.00137909582672223
2,215,0,0.0448978499763581,0.387221675923637,0.0109027607513172,0.0113406084193634,0.0144810935014312,0.00450014507130656,0.0382852865661221,0.00123122758376952,0.00102011212242564,0.00137909582671824
2,220,0,0.0431710820128599,0.360918529481301,0.0110606373178667,0.0104867452246837,0.0131133452035735,0.00450014507125569,0.0382852865743811,0.00123122758377354,0.00102011212242053,0.00137909582671441
2,225,0,0.0440990376127646,0.423178517905183,0.0107884206653891,0.0104356366419766,0.0140958717021179,0.00450014507118188,0.0382852865874746,0.00123122758377922,0.00102011212241461,0.00137909582671074
2,230,0,0.0376923444895646,0.419089088542191,0.0112598430384941,0.00966633400479139,0.0149733882828278,0.00450014507124733,0.0382852865722298,0.00123122758377463,0.00102011212241509,0.00137909582670773
2,235,0,0.0454400727734215,0.348158992834302,0.0150706893553424,0.00974219241504185,0.0144870148776256,0.00450014507131237,0.038285286557211,0.00123122758377005,0.00102011212241577,0.00137909582670495
2,240,0,0.0455742214098713,0.407042593946344,0.0132995788362026,0.00827280568252464,0.0136594946977681,0.00450014507137005,0.038285286543842,0.00123122758376598,0.00102011212241631,0.00137909582670238
2,245,0,0.0496793550080728,0.291491807527417,0.0127542179856285,0.00953662661490515,0.0141384271260116,0.00450014507142037,0.0382852865321228,0.00123122758376242,0.00102011212241673,0.00137909582670001
2,250,0,0.0410718147423105,0.379562875173083,0.0127754677545396,0.00941558581513426,0.0142712690903226,0.00450014507146332,0.0382852865220535,0.00123122758375936,0.00102011212241703,0.00137909582669785
2,255,0,0.0424600354203544,0.370513500654472,0.0117149628099102,0.00993630511942366,0.0114778094808663,0.00450014507149891,0.0382852865136339,0.00123122758375682,0.00102011212241719,0.0013790958266959
2,260,0,0.0417483926200573,0.327932901603102,0.0127706121180053,0.00968013168224527,0.0151065280112896,0.00450014507152713,0.038285286506864,0.00123122758375479,0.00102011212241724,0.00137909582669415
2,265,0,0.0405856055393345,0.41775583529967,0.0124637999822577,0.00918374113891373,0.0159375777907054,0.004500145071548,0.038285286501744,0.00123122758375326,0.00102011212241715,0.00137909582669261
2,270,0,0.0461050650306711,0.342807209651309,0.0106498643810624,0.0110071102826765,0.0128963235529278,0.00450014507156149,0.0382852864982738,0.00123122758375225,0.00102011212241694,0.00137909582669128
2,275,0,0.045105759921656,0.408821384152129,0.0127905915663366,0.0104348504090586,0.0155549833585585,0.00450014507156763,0.0382852864964534,0.00123122758375175,0.0010201121224166,0.00137909582669015
2,280,0,0.0474725162611497,0.406881888466196,0.0139404229827214,0.0100793656595229,0.0142997166611278,0.00450014507156639,0.0382852864962828,0.00123122758375175,0.00102011212241614,0.00137909582668922
2,285,0,0.0471880432722665,0.471911206470258,0.00957071155833619,0.00886054100789135,0.0145324410720104,0.0045001450715578,0.038285286497762,0.00123122758375227,0.00102011212241555,0.00137909582668851
2,290,0,0.0474455377479987,0.425041210992106,0.0106243210901341,0.0102726853511105,0.012734178517207,0.00450014507154184,0.038285286500891,0.00123122758375329,0.00102011212241484,0.001379095826688
2,295,0,0.0532012181194506,0.359442349389083,0.012741908698071,0.012483401746089,0.0146900110664565,0.00450014507151852,0.0382852865056698,0.00123122758375483,0.001020112122414,0.00137909582668769
